instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_pct_chg,nb_net_buy_ratio
SZ000968,2024-08-16,,,,
SH688512,2024-08-16,,,,
SZ002880,2024-08-16,,,,
SZ002184,2024-08-16,,,,
SZ300969,2024-08-16,,,,
SZ300443,2024-08-16,,,,
SH600012,2024-08-16,,,,
SZ002986,2024-08-16,,,,
SZ001208,2024-08-16,,,,
SH688800,2024-08-16,,,,
SZ002004,2024-08-16,,,,
SH688003,2024-08-16,,,,
SH688205,2024-08-16,,,,
SH688432,2024-08-16,,,,
SZ300833,2024-08-16,,,,
SH603035,2024-08-16,,,,
SZ301177,2024-08-16,,,,
SH688293,2024-08-16,,,,
SZ002801,2024-08-16,,,,
SH600007,2024-08-16,,,,
SZ300873,2024-08-16,,,,
SZ300685,2024-08-16,,,,
SZ001306,2024-08-16,,,,
SH601512,2024-08-16,,,,
SZ002431,2024-08-16,,,,
SH688172,2024-08-16,,,,
SH603680,2024-08-16,,,,
SH688359,2024-08-16,,,,
SH600075,2024-08-16,,,,
SH688059,2024-08-16,,,,
SH688177,2024-08-16,,,,
SH603229,2024-08-16,,,,
SZ300481,2024-08-16,,,,
SZ002481,2024-08-16,,,,
SH603662,2024-08-16,,,,
SZ300345,2024-08-16,,,,
SH605399,2024-08-16,,,,
SZ300451,2024-08-16,,,,
SH688165,2024-08-16,,,,
SZ002294,2024-08-16,,,,
SH605133,2024-08-16,,,,
SH688208,2024-08-16,,,,
SH600717,2024-08-16,,,,
SZ300681,2024-08-16,,,,
SH600571,2024-08-16,,,,
SH688552,2024-08-16,,,,
SH603977,2024-08-16,,,,
SH600985,2024-08-16,,,,
SH688087,2024-08-16,,,,
SH603078,2024-08-16,,,,
SH600085,2024-08-16,,,,
SZ002892,2024-08-16,,,,
